knowledge_id,資料層級,類別,子類別,知識內容,適用對象,依據來源,來源連結或檔名,來源位置/備註,關鍵標籤,可信度,備註
K00407,Academic Knowledge Base,FAQ知識化,原始FAQ轉知識,針對「申請系上獎學金需要什麼條件」這類問題，標準回答可整理為：通常需要前一學期學業與操行成績達標（如學業80分以上），並可能需提供參與系上活動證明。,聊天機器人/RAG,原始FAQ,東吳資科常見問題彙整(2).csv,第24筆FAQ,"FAQ,申請系上獎學金需要什麼條件",高,
K00408,Academic Knowledge Base,多輪追問知識,一般FAQ追問,若學生在詢問「申請系上獎學金需要什麼條件」後需要更具體說明，聊天機器人可先提供標準答案「通常需要前一學期學業與操行成績達標（如學業80分以上），並可能需提供參與系上活動證明。」，再引導學生補充入學年度、年級、身分別或目前修課狀態。,聊天機器人/RAG,FAQ＋生成追問策略,東吳資科常見問題彙整(2).csv,第24筆FAQ,"FAQ,多輪追問",中,
K00409,Academic Knowledge Base,FAQ知識化,原始FAQ轉知識,針對「書卷獎的標準是什麼」這類問題，標準回答可整理為：每班學期成績前三名，且操行成績達80分以上，無不及格科目者。,聊天機器人/RAG,原始FAQ,東吳資科常見問題彙整(2).csv,第25筆FAQ,"FAQ,書卷獎的標準是什麼",高,
K00410,Academic Knowledge Base,多輪追問知識,一般FAQ追問,若學生在詢問「書卷獎的標準是什麼」後需要更具體說明，聊天機器人可先提供標準答案「每班學期成績前三名，且操行成績達80分以上，無不及格科目者。」，再引導學生補充入學年度、年級、身分別或目前修課狀態。,聊天機器人/RAG,FAQ＋生成追問策略,東吳資科常見問題彙整(2).csv,第25筆FAQ,"FAQ,多輪追問",中,
K00411,Academic Knowledge Base,FAQ知識化,原始FAQ轉知識,針對「書卷獎的獎金是多少」這類問題，標準回答可整理為：通常第一名約3000元，第二名2000元，第三名1000元，並頒發獎狀（依當學期公告為準）。,聊天機器人/RAG,原始FAQ,東吳資科常見問題彙整(2).csv,第26筆FAQ,"FAQ,書卷獎的獎金是多少",高,
K00412,Academic Knowledge Base,多輪追問知識,一般FAQ追問,若學生在詢問「書卷獎的獎金是多少」後需要更具體說明，聊天機器人可先提供標準答案「通常第一名約3000元，第二名2000元，第三名1000元，並頒發獎狀（依當學期公告為準）。」，再引導學生補充入學年度、年級、身分別或目前修課狀態。,聊天機器人/RAG,FAQ＋生成追問策略,東吳資科常見問題彙整(2).csv,第26筆FAQ,"FAQ,多輪追問",中,
K00413,Academic Knowledge Base,FAQ知識化,原始FAQ轉知識,針對「可以同時領取多種獎學金嗎」這類問題，標準回答可整理為：視各獎學金辦法而定，校內某些獎學金有互斥規定，不能重複領取性質相同的助學金。,聊天機器人/RAG,原始FAQ,東吳資科常見問題彙整(2).csv,第27筆FAQ,"FAQ,可以同時領取多種獎學金嗎",高,
K00414,Academic Knowledge Base,多輪追問知識,一般FAQ追問,若學生在詢問「可以同時領取多種獎學金嗎」後需要更具體說明，聊天機器人可先提供標準答案「視各獎學金辦法而定，校內某些獎學金有互斥規定，不能重複領取性質相同的助學金。」，再引導學生補充入學年度、年級、身分別或目前修課狀態。,聊天機器人/RAG,FAQ＋生成追問策略,東吳資科常見問題彙整(2).csv,第27筆FAQ,"FAQ,多輪追問",中,
K00415,Academic Knowledge Base,FAQ知識化,原始FAQ轉知識,針對「弱勢學生有額外補助嗎」這類問題，標準回答可整理為：學校設有「弱勢學生助學計畫」，符合家庭年所得標準的學生可申請學雜費減免與生活助學金。,聊天機器人/RAG,原始FAQ,東吳資科常見問題彙整(2).csv,第28筆FAQ,"FAQ,弱勢學生有額外補助嗎",高,
K00416,Academic Knowledge Base,多輪追問知識,一般FAQ追問,若學生在詢問「弱勢學生有額外補助嗎」後需要更具體說明，聊天機器人可先提供標準答案「學校設有「弱勢學生助學計畫」，符合家庭年所得標準的學生可申請學雜費減免與生活助學金。」，再引導學生補充入學年度、年級、身分別或目前修課狀態。,聊天機器人/RAG,FAQ＋生成追問策略,東吳資科常見問題彙整(2).csv,第28筆FAQ,"FAQ,多輪追問",中,
K00417,Academic Knowledge Base,FAQ知識化,原始FAQ轉知識,針對「什麼是急難救助金」這類問題，標準回答可整理為：若學生家庭突遭變故導致就學困難，可隨時向學務處申請急難救助金。,聊天機器人/RAG,原始FAQ,東吳資科常見問題彙整(2).csv,第29筆FAQ,"FAQ,什麼是急難救助金",高,
K00418,Academic Knowledge Base,多輪追問知識,一般FAQ追問,若學生在詢問「什麼是急難救助金」後需要更具體說明，聊天機器人可先提供標準答案「若學生家庭突遭變故導致就學困難，可隨時向學務處申請急難救助金。」，再引導學生補充入學年度、年級、身分別或目前修課狀態。,聊天機器人/RAG,FAQ＋生成追問策略,東吳資科常見問題彙整(2).csv,第29筆FAQ,"FAQ,多輪追問",中,
K00419,Academic Knowledge Base,FAQ知識化,原始FAQ轉知識,針對「有出國交換的獎學金嗎」這類問題，標準回答可整理為：國際處提供「學海飛颺」等出國交換獎學金，系上若有經費也可能提供專屬補助。,聊天機器人/RAG,原始FAQ,東吳資科常見問題彙整(2).csv,第30筆FAQ,"FAQ,有出國交換的獎學金嗎",高,
K00420,Academic Knowledge Base,多輪追問知識,一般FAQ追問,若學生在詢問「有出國交換的獎學金嗎」後需要更具體說明，聊天機器人可先提供標準答案「國際處提供「學海飛颺」等出國交換獎學金，系上若有經費也可能提供專屬補助。」，再引導學生補充入學年度、年級、身分別或目前修課狀態。,聊天機器人/RAG,FAQ＋生成追問策略,東吳資科常見問題彙整(2).csv,第30筆FAQ,"FAQ,多輪追問",中,
K00421,Academic Knowledge Base,FAQ知識化,原始FAQ轉知識,針對「獎學金申請的常見時間點」這類問題，標準回答可整理為：多數獎學金於每學期開學後一個月內開放申請，請密切關注系辦與學務處公告。,聊天機器人/RAG,原始FAQ,東吳資科常見問題彙整(2).csv,第31筆FAQ,"FAQ,獎學金申請的常見時間點",高,
K00422,Academic Knowledge Base,多輪追問知識,一般FAQ追問,若學生在詢問「獎學金申請的常見時間點」後需要更具體說明，聊天機器人可先提供標準答案「多數獎學金於每學期開學後一個月內開放申請，請密切關注系辦與學務處公告。」，再引導學生補充入學年度、年級、身分別或目前修課狀態。,聊天機器人/RAG,FAQ＋生成追問策略,東吳資科常見問題彙整(2).csv,第31筆FAQ,"FAQ,多輪追問",中,
K00423,Academic Knowledge Base,FAQ知識化,原始FAQ轉知識,針對「如何查詢目前開放申請的獎學金」這類問題，標準回答可整理為：可至東吳大學德育中心「獎學金查詢系統」或資科系系網公告查詢。,聊天機器人/RAG,原始FAQ,東吳資科常見問題彙整(2).csv,第32筆FAQ,"FAQ,如何查詢目前開放申請的獎學金",高,
K00424,Academic Knowledge Base,多輪追問知識,一般FAQ追問,若學生在詢問「如何查詢目前開放申請的獎學金」後需要更具體說明，聊天機器人可先提供標準答案「可至東吳大學德育中心「獎學金查詢系統」或資科系系網公告查詢。」，再引導學生補充入學年度、年級、身分別或目前修課狀態。,聊天機器人/RAG,FAQ＋生成追問策略,東吳資科常見問題彙整(2).csv,第32筆FAQ,"FAQ,多輪追問",中,
K00425,Academic Knowledge Base,FAQ知識化,原始FAQ轉知識,針對「申請獎學金需要準備推薦信嗎」這類問題，標準回答可整理為：部分校外或高額獎學金會要求系上教授的推薦信，一般成績優良獎學金通常不需要。,聊天機器人/RAG,原始FAQ,東吳資科常見問題彙整(2).csv,第33筆FAQ,"FAQ,申請獎學金需要準備推薦信嗎",高,
K00426,Academic Knowledge Base,多輪追問知識,一般FAQ追問,若學生在詢問「申請獎學金需要準備推薦信嗎」後需要更具體說明，聊天機器人可先提供標準答案「部分校外或高額獎學金會要求系上教授的推薦信，一般成績優良獎學金通常不需要。」，再引導學生補充入學年度、年級、身分別或目前修課狀態。,聊天機器人/RAG,FAQ＋生成追問策略,東吳資科常見問題彙整(2).csv,第33筆FAQ,"FAQ,多輪追問",中,
K00427,Academic Knowledge Base,FAQ知識化,原始FAQ轉知識,針對「專題得獎有獎金嗎」這類問題，標準回答可整理為：若參與校內外大數據或專題競賽獲獎，系上或院上通常會核發獎勵金以資鼓勵。,聊天機器人/RAG,原始FAQ,東吳資科常見問題彙整(2).csv,第34筆FAQ,"FAQ,專題得獎有獎金嗎",高,
K00428,Academic Knowledge Base,邊界案例FAQ,專題追問,若學生在詢問「專題得獎有獎金嗎」後追問特殊情況，應結合標準答案「若參與校內外大數據或專題競賽獲獎，系上或院上通常會核發獎勵金以資鼓勵。」並提醒其確認專題申請時程、組員規定與指導教師安排。,聊天機器人/RAG,FAQ＋專題辦法推演,東吳資科常見問題彙整(2).csv,第34筆FAQ,"專題,多輪追問",中,
K00429,Academic Knowledge Base,FAQ知識化,原始FAQ轉知識,針對「校外機構的獎學金資訊在哪裡看」這類問題，標準回答可整理為：學務處德育中心會定期更新校外企業、基金會、各地同鄉會提供的獎學金資訊。,聊天機器人/RAG,原始FAQ,東吳資科常見問題彙整(2).csv,第35筆FAQ,"FAQ,校外機構的獎學金資訊在哪裡看",高,
K00430,Academic Knowledge Base,多輪追問知識,一般FAQ追問,若學生在詢問「校外機構的獎學金資訊在哪裡看」後需要更具體說明，聊天機器人可先提供標準答案「學務處德育中心會定期更新校外企業、基金會、各地同鄉會提供的獎學金資訊。」，再引導學生補充入學年度、年級、身分別或目前修課狀態。,聊天機器人/RAG,FAQ＋生成追問策略,東吳資科常見問題彙整(2).csv,第35筆FAQ,"FAQ,多輪追問",中,
K00431,Academic Knowledge Base,FAQ知識化,原始FAQ轉知識,針對「如果被記過可以申請獎學金嗎」這類問題，標準回答可整理為：大部分獎學金會要求操行成績（需80分以上），若有被記過紀錄通常會失去申請資格。,聊天機器人/RAG,原始FAQ,東吳資科常見問題彙整(2).csv,第36筆FAQ,"FAQ,如果被記過可以申請獎學金嗎",高,
K00432,Academic Knowledge Base,多輪追問知識,一般FAQ追問,若學生在詢問「如果被記過可以申請獎學金嗎」後需要更具體說明，聊天機器人可先提供標準答案「大部分獎學金會要求操行成績（需80分以上），若有被記過紀錄通常會失去申請資格。」，再引導學生補充入學年度、年級、身分別或目前修課狀態。,聊天機器人/RAG,FAQ＋生成追問策略,東吳資科常見問題彙整(2).csv,第36筆FAQ,"FAQ,多輪追問",中,
K00433,Academic Knowledge Base,FAQ知識化,原始FAQ轉知識,針對「第一學期新生可以申請成績優良獎學金嗎」這類問題，標準回答可整理為：大一新生通常第一學期無法申請大學成績類的獎學金，但有「優秀新生入學獎學金」。,聊天機器人/RAG,原始FAQ,東吳資科常見問題彙整(2).csv,第37筆FAQ,"FAQ,第一學期新生可以申請成績優良獎學金嗎",高,
K00434,Academic Knowledge Base,多輪追問知識,一般FAQ追問,若學生在詢問「第一學期新生可以申請成績優良獎學金嗎」後需要更具體說明，聊天機器人可先提供標準答案「大一新生通常第一學期無法申請大學成績類的獎學金，但有「優秀新生入學獎學金」。」，再引導學生補充入學年度、年級、身分別或目前修課狀態。,聊天機器人/RAG,FAQ＋生成追問策略,東吳資科常見問題彙整(2).csv,第37筆FAQ,"FAQ,多輪追問",中,
K00435,Academic Knowledge Base,FAQ知識化,原始FAQ轉知識,針對「領取助學金需要做服務學習嗎」這類問題，標準回答可整理為：部分生活助學金會要求學生每個月完成一定時數的校內服務（如圖書館、系辦工讀）。,聊天機器人/RAG,原始FAQ,東吳資科常見問題彙整(2).csv,第38筆FAQ,"FAQ,領取助學金需要做服務學習嗎",高,
K00436,Academic Knowledge Base,多輪追問知識,一般FAQ追問,若學生在詢問「領取助學金需要做服務學習嗎」後需要更具體說明，聊天機器人可先提供標準答案「部分生活助學金會要求學生每個月完成一定時數的校內服務（如圖書館、系辦工讀）。」，再引導學生補充入學年度、年級、身分別或目前修課狀態。,聊天機器人/RAG,FAQ＋生成追問策略,東吳資科常見問題彙整(2).csv,第38筆FAQ,"FAQ,多輪追問",中,
K00437,Academic Knowledge Base,FAQ知識化,原始FAQ轉知識,針對「獎學金是直接發現金還是匯款」這類問題，標準回答可整理為：校內外獎助學金目前幾乎皆採匯款方式，直接匯入學生在出納組登記的銀行帳戶。,聊天機器人/RAG,原始FAQ,東吳資科常見問題彙整(2).csv,第39筆FAQ,"FAQ,獎學金是直接發現金還是匯款",高,
K00438,Academic Knowledge Base,多輪追問知識,一般FAQ追問,若學生在詢問「獎學金是直接發現金還是匯款」後需要更具體說明，聊天機器人可先提供標準答案「校內外獎助學金目前幾乎皆採匯款方式，直接匯入學生在出納組登記的銀行帳戶。」，再引導學生補充入學年度、年級、身分別或目前修課狀態。,聊天機器人/RAG,FAQ＋生成追問策略,東吳資科常見問題彙整(2).csv,第39筆FAQ,"FAQ,多輪追問",中,
K00439,Academic Knowledge Base,FAQ知識化,原始FAQ轉知識,針對「如果延畢還可以申請獎學金嗎」這類問題，標準回答可整理為：延修生（延畢生）通常不具備一般在校生獎學金的申請資格。,聊天機器人/RAG,原始FAQ,東吳資科常見問題彙整(2).csv,第40筆FAQ,"FAQ,如果延畢還可以申請獎學金嗎",高,
K00440,Academic Knowledge Base,多輪追問知識,一般FAQ追問,若學生在詢問「如果延畢還可以申請獎學金嗎」後需要更具體說明，聊天機器人可先提供標準答案「延修生（延畢生）通常不具備一般在校生獎學金的申請資格。」，再引導學生補充入學年度、年級、身分別或目前修課狀態。,聊天機器人/RAG,FAQ＋生成追問策略,東吳資科常見問題彙整(2).csv,第40筆FAQ,"FAQ,多輪追問",中,
K00441,Academic Knowledge Base,FAQ知識化,原始FAQ轉知識,針對「學雜費減免與就學貸款可以同時辦理嗎」這類問題，標準回答可整理為：可以，但必須「先辦理減免」，確認扣除金額後，再以「減免後的差額」辦理就學貸款。,聊天機器人/RAG,原始FAQ,東吳資科常見問題彙整(2).csv,第41筆FAQ,"FAQ,學雜費減免與就學貸款可以同時辦理嗎",高,
K00442,Academic Knowledge Base,多輪追問知識,一般FAQ追問,若學生在詢問「學雜費減免與就學貸款可以同時辦理嗎」後需要更具體說明，聊天機器人可先提供標準答案「可以，但必須「先辦理減免」，確認扣除金額後，再以「減免後的差額」辦理就學貸款。」，再引導學生補充入學年度、年級、身分別或目前修課狀態。,聊天機器人/RAG,FAQ＋生成追問策略,東吳資科常見問題彙整(2).csv,第41筆FAQ,"FAQ,多輪追問",中,
K00443,Academic Knowledge Base,FAQ知識化,原始FAQ轉知識,針對「有弱勢學生免住宿費的規定嗎」這類問題，標準回答可整理為：具有低收入戶資格的學生，可依學校規定申請優先住宿並減免住宿費用。,聊天機器人/RAG,原始FAQ,東吳資科常見問題彙整(2).csv,第42筆FAQ,"FAQ,有弱勢學生免住宿費的規定嗎",高,
K00444,Academic Knowledge Base,多輪追問知識,一般FAQ追問,若學生在詢問「有弱勢學生免住宿費的規定嗎」後需要更具體說明，聊天機器人可先提供標準答案「具有低收入戶資格的學生，可依學校規定申請優先住宿並減免住宿費用。」，再引導學生補充入學年度、年級、身分別或目前修課狀態。,聊天機器人/RAG,FAQ＋生成追問策略,東吳資科常見問題彙整(2).csv,第42筆FAQ,"FAQ,多輪追問",中,
K00445,Academic Knowledge Base,FAQ知識化,原始FAQ轉知識,針對「有沒有專屬於資料科學系（巨資學院）的獎學金」這類問題，標準回答可整理為：有的，巨資學院設有專屬的「文華獎學金」，專門用來獎勵本院系的師生。,聊天機器人/RAG,原始FAQ,東吳資科常見問題彙整(2).csv,第43筆FAQ,"FAQ,有沒有專屬於資料科學系（巨資學院）的獎學",高,
K00446,Academic Knowledge Base,多輪追問知識,一般FAQ追問,若學生在詢問「有沒有專屬於資料科學系（巨資學院）的獎學金」後需要更具體說明，聊天機器人可先提供標準答案「有的，巨資學院設有專屬的「文華獎學金」，專門用來獎勵本院系的師生。」，再引導學生補充入學年度、年級、身分別或目前修課狀態。,聊天機器人/RAG,FAQ＋生成追問策略,東吳資科常見問題彙整(2).csv,第43筆FAQ,"FAQ,多輪追問",中,
K00447,Academic Knowledge Base,FAQ知識化,原始FAQ轉知識,針對「「文華獎學金」是誰設立的」這類問題，標準回答可整理為：由巨資學院張善政榮譽院長捐款成立，目的是支持學院教學創新與AI人才培育。,聊天機器人/RAG,原始FAQ,東吳資科常見問題彙整(2).csv,第44筆FAQ,"FAQ,「文華獎學金」是誰設立的",高,
K00448,Academic Knowledge Base,多輪追問知識,一般FAQ追問,若學生在詢問「「文華獎學金」是誰設立的」後需要更具體說明，聊天機器人可先提供標準答案「由巨資學院張善政榮譽院長捐款成立，目的是支持學院教學創新與AI人才培育。」，再引導學生補充入學年度、年級、身分別或目前修課狀態。,聊天機器人/RAG,FAQ＋生成追問策略,東吳資科常見問題彙整(2).csv,第44筆FAQ,"FAQ,多輪追問",中,
K00449,Academic Knowledge Base,FAQ知識化,原始FAQ轉知識,針對「我想要拿「文華獎學金」，平常應該注重什麼」這類問題，標準回答可整理為：除了學業成績外，建議多投入AI應用、資料分析、專題研究並參與校內外競賽。,聊天機器人/RAG,原始FAQ,東吳資科常見問題彙整(2).csv,第45筆FAQ,"FAQ,我想要拿「文華獎學金」，平常應該注重什麼",高,
K00450,Academic Knowledge Base,多輪追問知識,一般FAQ追問,若學生在詢問「我想要拿「文華獎學金」，平常應該注重什麼」後需要更具體說明，聊天機器人可先提供標準答案「除了學業成績外，建議多投入AI應用、資料分析、專題研究並參與校內外競賽。」，再引導學生補充入學年度、年級、身分別或目前修課狀態。,聊天機器人/RAG,FAQ＋生成追問策略,東吳資科常見問題彙整(2).csv,第45筆FAQ,"FAQ,多輪追問",中,
K00451,Academic Knowledge Base,FAQ知識化,原始FAQ轉知識,針對「教育部有提供哪些助學金資訊管道」這類問題，標準回答可整理為：學生可至「教育部圓夢助學網」，整合了各部會、縣市政府及民間團體的資訊。,聊天機器人/RAG,原始FAQ,東吳資科常見問題彙整(2).csv,第46筆FAQ,"FAQ,教育部有提供哪些助學金資訊管道",高,
K00452,Academic Knowledge Base,多輪追問知識,一般FAQ追問,若學生在詢問「教育部有提供哪些助學金資訊管道」後需要更具體說明，聊天機器人可先提供標準答案「學生可至「教育部圓夢助學網」，整合了各部會、縣市政府及民間團體的資訊。」，再引導學生補充入學年度、年級、身分別或目前修課狀態。,聊天機器人/RAG,FAQ＋生成追問策略,東吳資科常見問題彙整(2).csv,第46筆FAQ,"FAQ,多輪追問",中,
K00453,Academic Knowledge Base,FAQ知識化,原始FAQ轉知識,針對「行政院有提供學費補助嗎」這類問題，標準回答可整理為：有的，目前有提供「行政院定額減免學雜費3.5萬元」的補助方案。,聊天機器人/RAG,原始FAQ,東吳資科常見問題彙整(2).csv,第47筆FAQ,"FAQ,行政院有提供學費補助嗎",高,
K00454,Academic Knowledge Base,多輪追問知識,一般FAQ追問,若學生在詢問「行政院有提供學費補助嗎」後需要更具體說明，聊天機器人可先提供標準答案「有的，目前有提供「行政院定額減免學雜費3.5萬元」的補助方案。」，再引導學生補充入學年度、年級、身分別或目前修課狀態。,聊天機器人/RAG,FAQ＋生成追問策略,東吳資科常見問題彙整(2).csv,第47筆FAQ,"FAQ,多輪追問",中,
K00455,Academic Knowledge Base,FAQ知識化,原始FAQ轉知識,針對「如果家庭經濟較為困難，學校有哪些校內補助可以申請」這類問題，標準回答可整理為：包含就學優待減免、「弱勢學生助學計畫」助學金、工讀助學金、生活助學金等。,聊天機器人/RAG,原始FAQ,東吳資科常見問題彙整(2).csv,第48筆FAQ,"FAQ,如果家庭經濟較為困難，學校有哪些校內補助",高,
K00456,Academic Knowledge Base,多輪追問知識,一般FAQ追問,若學生在詢問「如果家庭經濟較為困難，學校有哪些校內補助可以申請」後需要更具體說明，聊天機器人可先提供標準答案「包含就學優待減免、「弱勢學生助學計畫」助學金、工讀助學金、生活助學金等。」，再引導學生補充入學年度、年級、身分別或目前修課狀態。,聊天機器人/RAG,FAQ＋生成追問策略,東吳資科常見問題彙整(2).csv,第48筆FAQ,"FAQ,多輪追問",中,
K00457,Academic Knowledge Base,FAQ知識化,原始FAQ轉知識,針對「學校有提供打工的機會嗎」這類問題，標準回答可整理為：有，東吳大學每學年提供數百名校內工讀機會（工讀助學金），提供經濟上的協助。,聊天機器人/RAG,原始FAQ,東吳資科常見問題彙整(2).csv,第49筆FAQ,"FAQ,學校有提供打工的機會嗎",高,
K00458,Academic Knowledge Base,多輪追問知識,一般FAQ追問,若學生在詢問「學校有提供打工的機會嗎」後需要更具體說明，聊天機器人可先提供標準答案「有，東吳大學每學年提供數百名校內工讀機會（工讀助學金），提供經濟上的協助。」，再引導學生補充入學年度、年級、身分別或目前修課狀態。,聊天機器人/RAG,FAQ＋生成追問策略,東吳資科常見問題彙整(2).csv,第49筆FAQ,"FAQ,多輪追問",中,
K00459,Academic Knowledge Base,FAQ知識化,原始FAQ轉知識,針對「校友有提供獎學金給學弟妹嗎」這類問題，標準回答可整理為：有，學校設有「東吳大學校友紀念獎助學金」，由畢業校友捐款回饋母校。,聊天機器人/RAG,原始FAQ,東吳資科常見問題彙整(2).csv,第50筆FAQ,"FAQ,校友有提供獎學金給學弟妹嗎",高,
K00460,Academic Knowledge Base,多輪追問知識,一般FAQ追問,若學生在詢問「校友有提供獎學金給學弟妹嗎」後需要更具體說明，聊天機器人可先提供標準答案「有，學校設有「東吳大學校友紀念獎助學金」，由畢業校友捐款回饋母校。」，再引導學生補充入學年度、年級、身分別或目前修課狀態。,聊天機器人/RAG,FAQ＋生成追問策略,東吳資科常見問題彙整(2).csv,第50筆FAQ,"FAQ,多輪追問",中,
K00461,Academic Knowledge Base,FAQ知識化,原始FAQ轉知識,針對「「文華獎學金」辦理多久了」這類問題，標準回答可整理為：自 107 學年度起開始辦理，迄今已嘉惠巨資學院百餘位師生。,聊天機器人/RAG,原始FAQ,東吳資科常見問題彙整(2).csv,第51筆FAQ,"FAQ,「文華獎學金」辦理多久了",高,
K00462,Academic Knowledge Base,多輪追問知識,一般FAQ追問,若學生在詢問「「文華獎學金」辦理多久了」後需要更具體說明，聊天機器人可先提供標準答案「自 107 學年度起開始辦理，迄今已嘉惠巨資學院百餘位師生。」，再引導學生補充入學年度、年級、身分別或目前修課狀態。,聊天機器人/RAG,FAQ＋生成追問策略,東吳資科常見問題彙整(2).csv,第51筆FAQ,"FAQ,多輪追問",中,
K00463,Academic Knowledge Base,FAQ知識化,原始FAQ轉知識,"針對「東吳資科系每學期學雜費大約多少」這類問題，標準回答可整理為：依最新標準，巨資學院資料科學系學士班學雜費約為 55,990 元。",聊天機器人/RAG,原始FAQ,東吳資科常見問題彙整(2).csv,第52筆FAQ,"FAQ,東吳資科系每學期學雜費大約多少",高,
K00464,Academic Knowledge Base,多輪追問知識,一般FAQ追問,"若學生在詢問「東吳資科系每學期學雜費大約多少」後需要更具體說明，聊天機器人可先提供標準答案「依最新標準，巨資學院資料科學系學士班學雜費約為 55,990 元。」，再引導學生補充入學年度、年級、身分別或目前修課狀態。",聊天機器人/RAG,FAQ＋生成追問策略,東吳資科常見問題彙整(2).csv,第52筆FAQ,"FAQ,多輪追問",中,
K00465,Academic Knowledge Base,FAQ知識化,原始FAQ轉知識,針對「學雜費繳費單何時可以下載」這類問題，標準回答可整理為：開學前約一個月，學生可至「台新銀行學雜費入口網」自行下載繳費單。,聊天機器人/RAG,原始FAQ,東吳資科常見問題彙整(2).csv,第53筆FAQ,"FAQ,學雜費繳費單何時可以下載",高,
K00466,Academic Knowledge Base,多輪追問知識,一般FAQ追問,若學生在詢問「學雜費繳費單何時可以下載」後需要更具體說明，聊天機器人可先提供標準答案「開學前約一個月，學生可至「台新銀行學雜費入口網」自行下載繳費單。」，再引導學生補充入學年度、年級、身分別或目前修課狀態。,聊天機器人/RAG,FAQ＋生成追問策略,東吳資科常見問題彙整(2).csv,第53筆FAQ,"FAQ,多輪追問",中,
K00467,Academic Knowledge Base,FAQ知識化,原始FAQ轉知識,針對「可以用信用卡繳學雜費嗎」這類問題，標準回答可整理為：可以，透過台新銀行入口網線上刷卡，部分銀行提供分期零利率。,聊天機器人/RAG,原始FAQ,東吳資科常見問題彙整(2).csv,第54筆FAQ,"FAQ,可以用信用卡繳學雜費嗎",高,
K00468,Academic Knowledge Base,多輪追問知識,一般FAQ追問,若學生在詢問「可以用信用卡繳學雜費嗎」後需要更具體說明，聊天機器人可先提供標準答案「可以，透過台新銀行入口網線上刷卡，部分銀行提供分期零利率。」，再引導學生補充入學年度、年級、身分別或目前修課狀態。,聊天機器人/RAG,FAQ＋生成追問策略,東吳資科常見問題彙整(2).csv,第54筆FAQ,"FAQ,多輪追問",中,
K00469,Academic Knowledge Base,FAQ知識化,原始FAQ轉知識,針對「學貸要怎麼申請」這類問題，標準回答可整理為：開學前先至台北富邦銀行辦理對保，再將對保單繳回學務處生輔組完成註冊。,聊天機器人/RAG,原始FAQ,東吳資科常見問題彙整(2).csv,第55筆FAQ,"FAQ,學貸要怎麼申請",高,
K00470,Academic Knowledge Base,多輪追問知識,一般FAQ追問,若學生在詢問「學貸要怎麼申請」後需要更具體說明，聊天機器人可先提供標準答案「開學前先至台北富邦銀行辦理對保，再將對保單繳回學務處生輔組完成註冊。」，再引導學生補充入學年度、年級、身分別或目前修課狀態。,聊天機器人/RAG,FAQ＋生成追問策略,東吳資科常見問題彙整(2).csv,第55筆FAQ,"FAQ,多輪追問",中,
K00471,Academic Knowledge Base,FAQ知識化,原始FAQ轉知識,針對「學貸可以貸的項目有哪些」這類問題，標準回答可整理為：包含學雜費、書籍費（最高3000元）、校內住宿費及學生平安保險費。,聊天機器人/RAG,原始FAQ,東吳資科常見問題彙整(2).csv,第56筆FAQ,"FAQ,學貸可以貸的項目有哪些",高,
K00472,Academic Knowledge Base,多輪追問知識,一般FAQ追問,若學生在詢問「學貸可以貸的項目有哪些」後需要更具體說明，聊天機器人可先提供標準答案「包含學雜費、書籍費（最高3000元）、校內住宿費及學生平安保險費。」，再引導學生補充入學年度、年級、身分別或目前修課狀態。,聊天機器人/RAG,FAQ＋生成追問策略,東吳資科常見問題彙整(2).csv,第56筆FAQ,"FAQ,多輪追問",中,
K00473,Academic Knowledge Base,FAQ知識化,原始FAQ轉知識,針對「忘記繳學雜費會怎樣」這類問題，標準回答可整理為：逾期未繳且未辦理延緩繳費者，視同未完成註冊，依規定可能會面臨退學處分。,聊天機器人/RAG,原始FAQ,東吳資科常見問題彙整(2).csv,第57筆FAQ,"FAQ,忘記繳學雜費會怎樣",高,
K00474,Academic Knowledge Base,多輪追問知識,一般FAQ追問,若學生在詢問「忘記繳學雜費會怎樣」後需要更具體說明，聊天機器人可先提供標準答案「逾期未繳且未辦理延緩繳費者，視同未完成註冊，依規定可能會面臨退學處分。」，再引導學生補充入學年度、年級、身分別或目前修課狀態。,聊天機器人/RAG,FAQ＋生成追問策略,東吳資科常見問題彙整(2).csv,第57筆FAQ,"FAQ,多輪追問",中,
K00475,Academic Knowledge Base,FAQ知識化,原始FAQ轉知識,針對「可以申請延期繳納學雜費嗎」這類問題，標準回答可整理為：若有經濟困難，可於註冊日前向會計室申請延緩繳費，最多可延緩約一個月。,聊天機器人/RAG,原始FAQ,東吳資科常見問題彙整(2).csv,第58筆FAQ,"FAQ,可以申請延期繳納學雜費嗎",高,
K00476,Academic Knowledge Base,多輪追問知識,一般FAQ追問,若學生在詢問「可以申請延期繳納學雜費嗎」後需要更具體說明，聊天機器人可先提供標準答案「若有經濟困難，可於註冊日前向會計室申請延緩繳費，最多可延緩約一個月。」，再引導學生補充入學年度、年級、身分別或目前修課狀態。,聊天機器人/RAG,FAQ＋生成追問策略,東吳資科常見問題彙整(2).csv,第58筆FAQ,"FAQ,多輪追問",中,
K00477,Academic Knowledge Base,FAQ知識化,原始FAQ轉知識,針對「休學可以退學雜費嗎」這類問題，標準回答可整理為：開學日前全額退費；上課達1/3前退2/3；逾2/3則不予退費。,聊天機器人/RAG,原始FAQ,東吳資科常見問題彙整(2).csv,第59筆FAQ,"FAQ,休學可以退學雜費嗎",高,
