knowledge_id,類別,子類別,知識內容,適用對象,依據來源,來源連結或檔名,來源位置/備註,關鍵標籤,可信度,備註
K00140,課程地圖文字化,一般修課提醒,行動內容創作未在目前整理資料中明列特殊先修門檻；但實際能否修課仍應以當學期選課系統、授課教師與系辦公告為準。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,依課表未列特殊門檻,"課程表,行動內容創作,系選修,依課表安排,2學分",中,未列特殊先修不代表永遠無限制
K00141,課程地圖文字化,課程基本資訊,故事設計與創作是東吳資料科學系114學年度課程表中的系選修課程，共2學分，通常安排於依課表安排修讀。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表,"課程表,故事設計與創作,系選修,依課表安排,2學分",高,
K00142,課程地圖文字化,修課定位,故事設計與創作在課程規劃中的定位為「第二專長合班」，學生可依入學年度課程表確認實際開課學期與修課要求。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表備註,"課程表,故事設計與創作,系選修,依課表安排,2學分",高,
K00143,課程地圖文字化,選課提醒,學生規劃故事設計與創作時，應優先確認自己所屬入學年度的必選修科目表，因不同入學年度的課程名稱、學分或安排學期可能略有差異。,學士班學生,112-114學士班必選修科目表,112-學士(1).pdf；113-學士(1).pdf；114-學士(1).pdf,跨年度課程表,"課程表,故事設計與創作,系選修,依課表安排,2學分",高,
K00144,課程地圖文字化,一般修課提醒,故事設計與創作未在目前整理資料中明列特殊先修門檻；但實際能否修課仍應以當學期選課系統、授課教師與系辦公告為準。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,依課表未列特殊門檻,"課程表,故事設計與創作,系選修,依課表安排,2學分",中,未列特殊先修不代表永遠無限制
K00145,課程地圖文字化,課程基本資訊,廣告投放分析是東吳資料科學系114學年度課程表中的系選修課程，共2學分，通常安排於依課表安排修讀。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表,"課程表,廣告投放分析,系選修,依課表安排,2學分",高,
K00146,課程地圖文字化,修課定位,廣告投放分析在課程規劃中的定位為「第二專長合班」，學生可依入學年度課程表確認實際開課學期與修課要求。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表備註,"課程表,廣告投放分析,系選修,依課表安排,2學分",高,
K00147,課程地圖文字化,選課提醒,學生規劃廣告投放分析時，應優先確認自己所屬入學年度的必選修科目表，因不同入學年度的課程名稱、學分或安排學期可能略有差異。,學士班學生,112-114學士班必選修科目表,112-學士(1).pdf；113-學士(1).pdf；114-學士(1).pdf,跨年度課程表,"課程表,廣告投放分析,系選修,依課表安排,2學分",高,
K00148,課程地圖文字化,一般修課提醒,廣告投放分析未在目前整理資料中明列特殊先修門檻；但實際能否修課仍應以當學期選課系統、授課教師與系辦公告為準。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,依課表未列特殊門檻,"課程表,廣告投放分析,系選修,依課表安排,2學分",中,未列特殊先修不代表永遠無限制
K00149,課程地圖文字化,課程基本資訊,智慧聯網應用是東吳資料科學系114學年度課程表中的系選修課程，共2學分，通常安排於依課表安排修讀。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表,"課程表,智慧聯網應用,系選修,依課表安排,2學分",高,
K00150,課程地圖文字化,修課定位,智慧聯網應用在課程規劃中的定位為「第二專長合班」，學生可依入學年度課程表確認實際開課學期與修課要求。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表備註,"課程表,智慧聯網應用,系選修,依課表安排,2學分",高,
K00151,課程地圖文字化,選課提醒,學生規劃智慧聯網應用時，應優先確認自己所屬入學年度的必選修科目表，因不同入學年度的課程名稱、學分或安排學期可能略有差異。,學士班學生,112-114學士班必選修科目表,112-學士(1).pdf；113-學士(1).pdf；114-學士(1).pdf,跨年度課程表,"課程表,智慧聯網應用,系選修,依課表安排,2學分",高,
K00152,課程地圖文字化,一般修課提醒,智慧聯網應用未在目前整理資料中明列特殊先修門檻；但實際能否修課仍應以當學期選課系統、授課教師與系辦公告為準。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,依課表未列特殊門檻,"課程表,智慧聯網應用,系選修,依課表安排,2學分",中,未列特殊先修不代表永遠無限制
K00153,課程地圖文字化,課程基本資訊,醫療大數據導論是東吳資料科學系114學年度課程表中的系選修課程，共3學分，通常安排於依課表安排修讀。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表,"課程表,醫療大數據導論,系選修,依課表安排,3學分",高,
K00154,課程地圖文字化,修課定位,醫療大數據導論在課程規劃中的定位為「醫療資料應用」，學生可依入學年度課程表確認實際開課學期與修課要求。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表備註,"課程表,醫療大數據導論,系選修,依課表安排,3學分",高,
K00155,課程地圖文字化,選課提醒,學生規劃醫療大數據導論時，應優先確認自己所屬入學年度的必選修科目表，因不同入學年度的課程名稱、學分或安排學期可能略有差異。,學士班學生,112-114學士班必選修科目表,112-學士(1).pdf；113-學士(1).pdf；114-學士(1).pdf,跨年度課程表,"課程表,醫療大數據導論,系選修,依課表安排,3學分",高,
K00156,課程地圖文字化,一般修課提醒,醫療大數據導論未在目前整理資料中明列特殊先修門檻；但實際能否修課仍應以當學期選課系統、授課教師與系辦公告為準。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,依課表未列特殊門檻,"課程表,醫療大數據導論,系選修,依課表安排,3學分",中,未列特殊先修不代表永遠無限制
K00157,課程地圖文字化,課程基本資訊,雲端運算服務是東吳資料科學系114學年度課程表中的系選修課程，共3學分，通常安排於依課表安排修讀。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表,"課程表,雲端運算服務,系選修,依課表安排,3學分",高,
K00158,課程地圖文字化,修課定位,雲端運算服務在課程規劃中的定位為「雲端平台與服務」，學生可依入學年度課程表確認實際開課學期與修課要求。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表備註,"課程表,雲端運算服務,系選修,依課表安排,3學分",高,
K00159,課程地圖文字化,選課提醒,學生規劃雲端運算服務時，應優先確認自己所屬入學年度的必選修科目表，因不同入學年度的課程名稱、學分或安排學期可能略有差異。,學士班學生,112-114學士班必選修科目表,112-學士(1).pdf；113-學士(1).pdf；114-學士(1).pdf,跨年度課程表,"課程表,雲端運算服務,系選修,依課表安排,3學分",高,
K00160,課程地圖文字化,一般修課提醒,雲端運算服務未在目前整理資料中明列特殊先修門檻；但實際能否修課仍應以當學期選課系統、授課教師與系辦公告為準。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,依課表未列特殊門檻,"課程表,雲端運算服務,系選修,依課表安排,3學分",中,未列特殊先修不代表永遠無限制
K00161,課程地圖文字化,課程基本資訊,金融科技創新與應用是東吳資料科學系114學年度課程表中的系選修課程，共3學分，通常安排於依課表安排修讀。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表,"課程表,金融科技創新與應用,系選修,依課表安排,3學分",高,
K00162,課程地圖文字化,修課定位,金融科技創新與應用在課程規劃中的定位為「金融科技應用」，學生可依入學年度課程表確認實際開課學期與修課要求。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表備註,"課程表,金融科技創新與應用,系選修,依課表安排,3學分",高,
K00163,課程地圖文字化,選課提醒,學生規劃金融科技創新與應用時，應優先確認自己所屬入學年度的必選修科目表，因不同入學年度的課程名稱、學分或安排學期可能略有差異。,學士班學生,112-114學士班必選修科目表,112-學士(1).pdf；113-學士(1).pdf；114-學士(1).pdf,跨年度課程表,"課程表,金融科技創新與應用,系選修,依課表安排,3學分",高,
K00164,課程地圖文字化,一般修課提醒,金融科技創新與應用未在目前整理資料中明列特殊先修門檻；但實際能否修課仍應以當學期選課系統、授課教師與系辦公告為準。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,依課表未列特殊門檻,"課程表,金融科技創新與應用,系選修,依課表安排,3學分",中,未列特殊先修不代表永遠無限制
K00165,課程地圖文字化,課程基本資訊,擴增實境行動應用整合開發是東吳資料科學系114學年度課程表中的系選修課程，共3學分，通常安排於依課表安排修讀。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表,"課程表,擴增實境行動應用整合開發,系選修,依課表安排,3學分",高,
K00166,課程地圖文字化,修課定位,擴增實境行動應用整合開發在課程規劃中的定位為「AR與行動應用」，學生可依入學年度課程表確認實際開課學期與修課要求。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表備註,"課程表,擴增實境行動應用整合開發,系選修,依課表安排,3學分",高,
K00167,課程地圖文字化,選課提醒,學生規劃擴增實境行動應用整合開發時，應優先確認自己所屬入學年度的必選修科目表，因不同入學年度的課程名稱、學分或安排學期可能略有差異。,學士班學生,112-114學士班必選修科目表,112-學士(1).pdf；113-學士(1).pdf；114-學士(1).pdf,跨年度課程表,"課程表,擴增實境行動應用整合開發,系選修,依課表安排,3學分",高,
K00168,課程地圖文字化,一般修課提醒,擴增實境行動應用整合開發未在目前整理資料中明列特殊先修門檻；但實際能否修課仍應以當學期選課系統、授課教師與系辦公告為準。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,依課表未列特殊門檻,"課程表,擴增實境行動應用整合開發,系選修,依課表安排,3學分",中,未列特殊先修不代表永遠無限制
K00169,課程地圖文字化,課程基本資訊,時間序列分析是東吳資料科學系114學年度課程表中的系選修課程，共3學分，通常安排於依課表安排修讀。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表,"課程表,時間序列分析,系選修,依課表安排,3學分",高,
K00170,課程地圖文字化,修課定位,時間序列分析在課程規劃中的定位為「時間序列模型與分析」，學生可依入學年度課程表確認實際開課學期與修課要求。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表備註,"課程表,時間序列分析,系選修,依課表安排,3學分",高,
K00171,課程地圖文字化,選課提醒,學生規劃時間序列分析時，應優先確認自己所屬入學年度的必選修科目表，因不同入學年度的課程名稱、學分或安排學期可能略有差異。,學士班學生,112-114學士班必選修科目表,112-學士(1).pdf；113-學士(1).pdf；114-學士(1).pdf,跨年度課程表,"課程表,時間序列分析,系選修,依課表安排,3學分",高,
K00172,課程地圖文字化,一般修課提醒,時間序列分析未在目前整理資料中明列特殊先修門檻；但實際能否修課仍應以當學期選課系統、授課教師與系辦公告為準。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,依課表未列特殊門檻,"課程表,時間序列分析,系選修,依課表安排,3學分",中,未列特殊先修不代表永遠無限制
K00173,課程地圖文字化,課程基本資訊,巨量資料分析應用是東吳資料科學系114學年度課程表中的系選修課程，共3學分，通常安排於依課表安排修讀。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表,"課程表,巨量資料分析應用,系選修,依課表安排,3學分",高,
K00174,課程地圖文字化,修課定位,巨量資料分析應用在課程規劃中的定位為「大數據應用分析」，學生可依入學年度課程表確認實際開課學期與修課要求。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表備註,"課程表,巨量資料分析應用,系選修,依課表安排,3學分",高,
K00175,課程地圖文字化,選課提醒,學生規劃巨量資料分析應用時，應優先確認自己所屬入學年度的必選修科目表，因不同入學年度的課程名稱、學分或安排學期可能略有差異。,學士班學生,112-114學士班必選修科目表,112-學士(1).pdf；113-學士(1).pdf；114-學士(1).pdf,跨年度課程表,"課程表,巨量資料分析應用,系選修,依課表安排,3學分",高,
K00176,課程地圖文字化,一般修課提醒,巨量資料分析應用未在目前整理資料中明列特殊先修門檻；但實際能否修課仍應以當學期選課系統、授課教師與系辦公告為準。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,依課表未列特殊門檻,"課程表,巨量資料分析應用,系選修,依課表安排,3學分",中,未列特殊先修不代表永遠無限制
K00177,課程地圖文字化,課程基本資訊,行為資料科學是東吳資料科學系114學年度課程表中的系選修課程，共3學分，通常安排於依課表安排修讀。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表,"課程表,行為資料科學,系選修,依課表安排,3學分",高,
K00178,課程地圖文字化,修課定位,行為資料科學在課程規劃中的定位為「行為資料與社會應用」，學生可依入學年度課程表確認實際開課學期與修課要求。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表備註,"課程表,行為資料科學,系選修,依課表安排,3學分",高,
K00179,課程地圖文字化,選課提醒,學生規劃行為資料科學時，應優先確認自己所屬入學年度的必選修科目表，因不同入學年度的課程名稱、學分或安排學期可能略有差異。,學士班學生,112-114學士班必選修科目表,112-學士(1).pdf；113-學士(1).pdf；114-學士(1).pdf,跨年度課程表,"課程表,行為資料科學,系選修,依課表安排,3學分",高,
K00180,課程地圖文字化,一般修課提醒,行為資料科學未在目前整理資料中明列特殊先修門檻；但實際能否修課仍應以當學期選課系統、授課教師與系辦公告為準。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,依課表未列特殊門檻,"課程表,行為資料科學,系選修,依課表安排,3學分",中,未列特殊先修不代表永遠無限制
K00181,課程地圖文字化,課程基本資訊,文字探勘導論是東吳資料科學系114學年度課程表中的系選修課程，共3學分，通常安排於依課表安排修讀。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表,"課程表,文字探勘導論,系選修,依課表安排,3學分",高,
K00182,課程地圖文字化,修課定位,文字探勘導論在課程規劃中的定位為「NLP與文本分析基礎」，學生可依入學年度課程表確認實際開課學期與修課要求。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表備註,"課程表,文字探勘導論,系選修,依課表安排,3學分",高,
K00183,課程地圖文字化,選課提醒,學生規劃文字探勘導論時，應優先確認自己所屬入學年度的必選修科目表，因不同入學年度的課程名稱、學分或安排學期可能略有差異。,學士班學生,112-114學士班必選修科目表,112-學士(1).pdf；113-學士(1).pdf；114-學士(1).pdf,跨年度課程表,"課程表,文字探勘導論,系選修,依課表安排,3學分",高,
K00184,課程地圖文字化,一般修課提醒,文字探勘導論未在目前整理資料中明列特殊先修門檻；但實際能否修課仍應以當學期選課系統、授課教師與系辦公告為準。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,依課表未列特殊門檻,"課程表,文字探勘導論,系選修,依課表安排,3學分",中,未列特殊先修不代表永遠無限制
K00185,課程地圖文字化,課程基本資訊,金融科技與智能交易是東吳資料科學系114學年度課程表中的系選修課程，共3學分，通常安排於依課表安排修讀。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表,"課程表,金融科技與智能交易,系選修,依課表安排,3學分",高,
K00186,課程地圖文字化,修課定位,金融科技與智能交易在課程規劃中的定位為「FinTech與交易模型」，學生可依入學年度課程表確認實際開課學期與修課要求。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表備註,"課程表,金融科技與智能交易,系選修,依課表安排,3學分",高,
K00187,課程地圖文字化,選課提醒,學生規劃金融科技與智能交易時，應優先確認自己所屬入學年度的必選修科目表，因不同入學年度的課程名稱、學分或安排學期可能略有差異。,學士班學生,112-114學士班必選修科目表,112-學士(1).pdf；113-學士(1).pdf；114-學士(1).pdf,跨年度課程表,"課程表,金融科技與智能交易,系選修,依課表安排,3學分",高,
K00188,課程地圖文字化,一般修課提醒,金融科技與智能交易未在目前整理資料中明列特殊先修門檻；但實際能否修課仍應以當學期選課系統、授課教師與系辦公告為準。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,依課表未列特殊門檻,"課程表,金融科技與智能交易,系選修,依課表安排,3學分",中,未列特殊先修不代表永遠無限制
K00189,課程地圖文字化,課程基本資訊,使用者經驗之洞察分析是東吳資料科學系114學年度課程表中的系選修課程，共3學分，通常安排於依課表安排修讀。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表,"課程表,使用者經驗之洞察分析,系選修,依課表安排,3學分",高,
K00190,課程地圖文字化,修課定位,使用者經驗之洞察分析在課程規劃中的定位為「UX與資料洞察」，學生可依入學年度課程表確認實際開課學期與修課要求。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表備註,"課程表,使用者經驗之洞察分析,系選修,依課表安排,3學分",高,
K00191,課程地圖文字化,選課提醒,學生規劃使用者經驗之洞察分析時，應優先確認自己所屬入學年度的必選修科目表，因不同入學年度的課程名稱、學分或安排學期可能略有差異。,學士班學生,112-114學士班必選修科目表,112-學士(1).pdf；113-學士(1).pdf；114-學士(1).pdf,跨年度課程表,"課程表,使用者經驗之洞察分析,系選修,依課表安排,3學分",高,
K00192,課程地圖文字化,一般修課提醒,使用者經驗之洞察分析未在目前整理資料中明列特殊先修門檻；但實際能否修課仍應以當學期選課系統、授課教師與系辦公告為準。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,依課表未列特殊門檻,"課程表,使用者經驗之洞察分析,系選修,依課表安排,3學分",中,未列特殊先修不代表永遠無限制
K00193,課程地圖文字化,課程基本資訊,多變量分析導論是東吳資料科學系114學年度課程表中的系選修課程，共3學分，通常安排於依課表安排修讀。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表,"課程表,多變量分析導論,系選修,依課表安排,3學分",高,
K00194,課程地圖文字化,修課定位,多變量分析導論在課程規劃中的定位為「統計分析進階課」，學生可依入學年度課程表確認實際開課學期與修課要求。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表備註,"課程表,多變量分析導論,系選修,依課表安排,3學分",高,
K00195,課程地圖文字化,選課提醒,學生規劃多變量分析導論時，應優先確認自己所屬入學年度的必選修科目表，因不同入學年度的課程名稱、學分或安排學期可能略有差異。,學士班學生,112-114學士班必選修科目表,112-學士(1).pdf；113-學士(1).pdf；114-學士(1).pdf,跨年度課程表,"課程表,多變量分析導論,系選修,依課表安排,3學分",高,
K00196,課程地圖文字化,一般修課提醒,多變量分析導論未在目前整理資料中明列特殊先修門檻；但實際能否修課仍應以當學期選課系統、授課教師與系辦公告為準。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,依課表未列特殊門檻,"課程表,多變量分析導論,系選修,依課表安排,3學分",中,未列特殊先修不代表永遠無限制
K00197,課程地圖文字化,入學年度提醒,112學年度入學學生應以112學年度資料科學系學士班必、選修科目表作為畢業與修課規劃依據。,該學年度入學學生,112學士班必選修科目表,112-學士(1).pdf,適用入學年度,"112課程表,畢業規劃",高,
K00198,畢業門檻,年度適用,不同入學年度可能有不同的課程名稱、學分配置或修課安排；學生不應只參考最新課表，而應回到自己的入學年度課表確認畢業規定。,所有學士班學生,112-114學士班必選修科目表,112-學士(1).pdf,跨年度課程表比較,"入學年度,畢業門檻,課程表",高,
K00199,課程地圖文字化,入學年度提醒,113學年度入學學生應以113學年度資料科學系學士班必、選修科目表作為畢業與修課規劃依據。,該學年度入學學生,113學士班必選修科目表,113-學士(1).pdf,適用入學年度,"113課程表,畢業規劃",高,
K00200,畢業門檻,年度適用,不同入學年度可能有不同的課程名稱、學分配置或修課安排；學生不應只參考最新課表，而應回到自己的入學年度課表確認畢業規定。,所有學士班學生,112-114學士班必選修科目表,113-學士(1).pdf,跨年度課程表比較,"入學年度,畢業門檻,課程表",高,
K00201,課程地圖文字化,入學年度提醒,114學年度入學學生應以114學年度資料科學系學士班必、選修科目表作為畢業與修課規劃依據。,該學年度入學學生,114學士班必選修科目表,114-學士(1).pdf,適用入學年度,"114課程表,畢業規劃",高,
K00202,畢業門檻,年度適用,不同入學年度可能有不同的課程名稱、學分配置或修課安排；學生不應只參考最新課表，而應回到自己的入學年度課表確認畢業規定。,所有學士班學生,112-114學士班必選修科目表,114-學士(1).pdf,跨年度課程表比較,"入學年度,畢業門檻,課程表",高,
K00203,專題實作,課程目的,專題實作的目的在於促進學生整合應用所學知識、增加實作經驗，並培養團隊合作精神。,大三至大四學生,東吳大學資料科學系專題實作辦法,東吳大學資料科學系專題實作辦法_114.03.25.pdf,專題實作辦法,"專題,課程目的",高,
K00204,專題實作,修課資格,欲修讀專題實作(一)須為學士班四年級學生、延修生，或計畫出國交換的三年級學生。,大三至大四學生,東吳大學資料科學系專題實作辦法,東吳大學資料科學系專題實作辦法_114.03.25.pdf,專題實作辦法,"專題,修課資格",高,
K00205,專題實作,修課資格,欲修讀專題實作(一)的學生，程式設計(一)、程式設計(二)、資料庫導論三科中至少需有一科及格。,大三至大四學生,東吳大學資料科學系專題實作辦法,東吳大學資料科學系專題實作辦法_114.03.25.pdf,專題實作辦法,"專題,修課資格",高,
K00206,專題實作,申請時間,專題實作申請時程為大三下學期，相關細部時程由系上另行公告。,大三至大四學生,東吳大學資料科學系專題實作辦法,東吳大學資料科學系專題實作辦法_114.03.25.pdf,專題實作辦法,"專題,申請時間",高,
K00207,專題實作,製作時間,專題製作時程包含大三升大四暑假及大四上學期。,大三至大四學生,東吳大學資料科學系專題實作辦法,東吳大學資料科學系專題實作辦法_114.03.25.pdf,專題實作辦法,"專題,製作時間",高,
K00208,專題實作,分組規定,專題實作以組別為單位申請，每組成員須為3至5人。,大三至大四學生,東吳大學資料科學系專題實作辦法,東吳大學資料科學系專題實作辦法_114.03.25.pdf,專題實作辦法,"專題,分組規定",高,
K00209,專題實作,申請限制,未提出專題申請的同學不得修習專題實作課程。,大三至大四學生,東吳大學資料科學系專題實作辦法,東吳大學資料科學系專題實作辦法_114.03.25.pdf,專題實作辦法,"專題,申請限制",高,
K00210,專題實作,國科會例外,申請國科會大專學生研究計畫且計畫核定通過者，始得以個人方式進行專題。,大三至大四學生,東吳大學資料科學系專題實作辦法,東吳大學資料科學系專題實作辦法_114.03.25.pdf,專題實作辦法,"專題,國科會例外",高,
K00211,專題實作,題目限制,專題題目宜多元化，但必須與巨量資料管理領域有所關聯。,大三至大四學生,東吳大學資料科學系專題實作辦法,東吳大學資料科學系專題實作辦法_114.03.25.pdf,專題實作辦法,"專題,題目限制",高,
K00212,專題實作,題目限制,專題題目不得與申請國科會大專學生研究計畫的題目相同。,大三至大四學生,東吳大學資料科學系專題實作辦法,東吳大學資料科學系專題實作辦法_114.03.25.pdf,專題實作辦法,"專題,題目限制",高,
K00213,專題實作,教師媒合,系上會進行教師與專題組別之媒合，並公告各組別指導教師名單。,大三至大四學生,東吳大學資料科學系專題實作辦法,東吳大學資料科學系專題實作辦法_114.03.25.pdf,專題實作辦法,"專題,教師媒合",高,
K00214,專題實作,成果發表,專題成果發表安排於大四上學期期末。,大三至大四學生,東吳大學資料科學系專題實作辦法,東吳大學資料科學系專題實作辦法_114.03.25.pdf,專題實作辦法,"專題,成果發表",高,
K00215,專題實作,期中資料,大四上學期需配合繳交期中成果報告書。,大三至大四學生,東吳大學資料科學系專題實作辦法,東吳大學資料科學系專題實作辦法_114.03.25.pdf,專題實作辦法,"專題,期中資料",高,
K00216,專題實作,期末資料,大四上學期需繳交期末成果報告書。,大三至大四學生,東吳大學資料科學系專題實作辦法,東吳大學資料科學系專題實作辦法_114.03.25.pdf,專題實作辦法,"專題,期末資料",高,
K00217,專題實作,海報,專題需繳交直式A1大小的海報電子檔。,大三至大四學生,東吳大學資料科學系專題實作辦法,東吳大學資料科學系專題實作辦法_114.03.25.pdf,專題實作辦法,"專題,海報",高,
K00218,專題實作,影片,專題需繳交5至10分鐘的專題簡介影片。,大三至大四學生,東吳大學資料科學系專題實作辦法,東吳大學資料科學系專題實作辦法_114.03.25.pdf,專題實作辦法,"專題,影片",高,
K00219,專題實作,上課方式,各專題組的上課方式由指導教師自行決定。,大三至大四學生,東吳大學資料科學系專題實作辦法,東吳大學資料科學系專題實作辦法_114.03.25.pdf,專題實作辦法,"專題,上課方式",高,
K00220,專題實作,評分方式,專題學期成績包含指導教師評分60%與成果發表會評分40%。,大三至大四學生,東吳大學資料科學系專題實作辦法,東吳大學資料科學系專題實作辦法_114.03.25.pdf,專題實作辦法,"專題,評分方式",高,
K00221,專題實作,成果評分,成果發表會評分中，簡報與問答占40%，專題完整程度占30%，技術層面占30%。,大三至大四學生,東吳大學資料科學系專題實作辦法,東吳大學資料科學系專題實作辦法_114.03.25.pdf,專題實作辦法,"專題,成果評分",高,
K00222,專題實作,特殊狀況,若組別有特殊情況未能參加成果發表會，得由指導教師與學系主任討論後另案處理。,大三至大四學生,東吳大學資料科學系專題實作辦法,東吳大學資料科學系專題實作辦法_114.03.25.pdf,專題實作辦法,"專題,特殊狀況",高,
K00223,專題實作,獎勵,專題成果發表會依當天報告內容與表現評選前五名及佳作數名，並依當年度預算頒發獎狀及獎金。,大三至大四學生,東吳大學資料科學系專題實作辦法,東吳大學資料科學系專題實作辦法_114.03.25.pdf,專題實作辦法,"專題,獎勵",高,
K00224,邊界案例FAQ,專題-邊界案例,如果學生大三下尚未提出專題申請，依辦法不得直接修習專題實作，應盡快向系辦確認是否仍有補救或特殊處理方式。,大三至大四學生,東吳大學資料科學系專題實作辦法,東吳大學資料科學系專題實作辦法_114.03.25.pdf,依專題辦法推演,"專題,邊界案例",高,
K00225,邊界案例FAQ,專題-例外規定,如果學生計畫大三出國交換，專題辦法允許計畫出國交換的三年級學生符合資格時修讀專題實作。,大三至大四學生,東吳大學資料科學系專題實作辦法,東吳大學資料科學系專題實作辦法_114.03.25.pdf,依專題辦法推演,"專題,例外規定",高,
K00226,邊界案例FAQ,專題-例外規定,如果學生想一個人做專題，只有在申請國科會大專學生研究計畫且核定通過時，才有依規定個人進行專題的空間。,大三至大四學生,東吳大學資料科學系專題實作辦法,東吳大學資料科學系專題實作辦法_114.03.25.pdf,依專題辦法推演,"專題,例外規定",高,
K00227,邊界案例FAQ,專題-邊界案例,如果學生只有2位組員，未符合3至5人的分組規定，應由學生主動協調組員或依系上特殊狀況安排處理。,大三至大四學生,東吳大學資料科學系專題實作辦法,東吳大學資料科學系專題實作辦法_114.03.25.pdf,依專題辦法推演,"專題,邊界案例",高,
K00228,邊界案例FAQ,專題-邊界案例,如果學生找到6位組員，超過每組3至5人的規定，通常需拆組或重新調整分組。,大三至大四學生,東吳大學資料科學系專題實作辦法,東吳大學資料科學系專題實作辦法_114.03.25.pdf,依專題辦法推演,"專題,邊界案例",高,
K00229,邊界案例FAQ,專題-錯誤認知,如果專題題目與國科會大專學生研究計畫題目相同，依辦法不得作為同一專題題目。,大三至大四學生,東吳大學資料科學系專題實作辦法,東吳大學資料科學系專題實作辦法_114.03.25.pdf,依專題辦法推演,"專題,錯誤認知",高,
K00230,邊界案例FAQ,專題-錯誤認知,如果學生以為專題只要有想法就能開始，仍需於規定時間內繳交專題申請表並經系上核可。,大三至大四學生,東吳大學資料科學系專題實作辦法,東吳大學資料科學系專題實作辦法_114.03.25.pdf,依專題辦法推演,"專題,錯誤認知",高,
K00231,邊界案例FAQ,專題-邊界案例,如果專題成果發表當天無法出席，不能自行缺席，應由指導教師與學系主任討論後另案處理。,大三至大四學生,東吳大學資料科學系專題實作辦法,東吳大學資料科學系專題實作辦法_114.03.25.pdf,依專題辦法推演,"專題,邊界案例",高,
K00232,邊界案例FAQ,專題-推論問題,如果學生不知道專題上課時間，應先詢問指導教師，因各組上課方式由指導教師決定。,大三至大四學生,東吳大學資料科學系專題實作辦法,東吳大學資料科學系專題實作辦法_114.03.25.pdf,依專題辦法推演,"專題,推論問題",高,
K00233,邊界案例FAQ,專題-推論問題,如果學生擔心專題成績，應同時重視平時表現與成果發表，因兩者分別占60%與40%。,大三至大四學生,東吳大學資料科學系專題實作辦法,東吳大學資料科學系專題實作辦法_114.03.25.pdf,依專題辦法推演,"專題,推論問題",高,
K00234,多輪追問知識,專題追問,學生若已詢問「專題申請」並追問下一步，聊天機器人應引導學生確認系上公告時程、繳交文件、指導教師要求與是否需向系辦補件。,聊天機器人/RAG,專題實作辦法＋生成追問策略,東吳大學資料科學系專題實作辦法_114.03.25.pdf,多輪問答設計,"專題,專題申請,多輪追問",高,
K00235,多輪追問知識,專題追問,學生若已詢問「分組」並追問下一步，聊天機器人應引導學生確認系上公告時程、繳交文件、指導教師要求與是否需向系辦補件。,聊天機器人/RAG,專題實作辦法＋生成追問策略,東吳大學資料科學系專題實作辦法_114.03.25.pdf,多輪問答設計,"專題,分組,多輪追問",高,
